Point Y,Point X,InstallDate
32.22883733,-110.9808551,7/15/2016
32.22918837,-110.9819277,7/15/2016
32.22753249,-110.9776014,7/15/2016
32.22754519,-110.9769506,7/15/2016
32.22757426,-110.9763224,7/15/2016
32.22781463,-110.9764116,7/15/2016
32.22757072,-110.9760132,7/15/2016
32.22781581,-110.9761246,7/15/2016
32.22781581,-110.9757889,7/15/2016
32.22836282,-110.9799855,7/15/2016
32.20597281,-110.9904529,7/15/2016
32.20595579,-110.9905166,7/15/2016
32.20659344,-110.9917397,7/15/2016
32.20633658,-110.9913082,7/15/2016
32.2280543,-110.9794228,7/15/2016
32.22785925,-110.9790516,7/15/2016
32.22765509,-110.978536,7/15/2016
32.22753931,-110.9782597,7/15/2016
32.22750179,-110.978003,7/15/2016
32.25017525,-110.9923145,7/15/2016
32.20404137,-110.9945472,7/15/2016
32.20489899,-110.9932464,7/15/2016
32.20524773,-110.9919893,7/15/2016
32.20556814,-110.9908177,7/15/2016
32.20568996,-110.9903537,7/15/2016
32.20577747,-110.9900767,7/15/2016
32.20077321,-110.995854,7/15/2016
32.2012024,-110.9957753,7/15/2016
32.20186835,-110.9956582,7/15/2016
32.20326583,-110.9952148,7/15/2016
32.22056934,-110.9815659,7/15/2016
32.22053669,-110.9818631,7/15/2016
32.22050182,-110.9824537,7/15/2016
32.22047633,-110.9827058,7/15/2016
32.22047414,-110.9831137,7/15/2016
32.22045172,-110.9834354,7/15/2016
32.20690681,-110.9841451,7/15/2016
32.207026,-110.9857077,7/15/2016
32.20247266,-110.9955384,7/15/2016
32.20268138,-110.9958737,7/15/2016
32.20271145,-110.9954739,7/15/2016
32.20404711,-110.9950544,7/15/2016
32.19982601,-110.9961482,7/15/2016
32.20600099,-110.9906589,7/15/2016
32.20570569,-110.9902982,7/15/2016
32.24578518,-111.0104806,7/15/2016
32.22067,-110.9886297,7/16/2016
32.2211236,-110.9885091,7/16/2016
32.230826,-110.9898307,7/16/2016
32.23175014,-110.9899334,7/16/2016
32.234055,-110.9902047,7/16/2016
32.23508743,-110.9903174,7/16/2016
32.22216161,-110.9886114,7/16/2016
32.25060262,-110.9973996,7/16/2016
32.22309263,-110.9887392,7/16/2016
32.23244,-110.9900137,7/16/2016
32.233233,-110.9901057,7/16/2016
32.25058943,-110.9964114,7/16/2016
32.18780515,-111.0011173,7/19/2016
32.18823025,-111.0007145,7/19/2016
32.18866299,-111.0003047,7/19/2016
32.19191132,-110.9994288,7/19/2016
32.19299338,-110.9991226,7/19/2016
32.19340943,-110.9989038,7/19/2016
32.19391209,-110.9986399,7/19/2016
32.19530868,-110.9982791,7/19/2016
32.19691761,-110.9983237,7/19/2016
32.19878171,-110.9973793,7/19/2016
32.20063888,-110.9962657,7/19/2016
32.20111625,-110.9961785,7/19/2016
32.20161713,-110.9960878,7/19/2016
32.250263,-110.9964747,7/19/2016
32.25031749,-110.9963496,7/19/2016
32.19588428,-110.9983165,7/19/2016
32.19429435,-110.9984477,7/19/2016
32.19472711,-110.9983127,7/19/2016
32.18396199,-111.0029587,7/19/2016
32.18427488,-111.0032017,7/19/2016
32.18449634,-111.0028326,7/19/2016
32.18472461,-111.003077,7/19/2016
32.18504672,-111.0026482,7/19/2016
32.18538586,-111.0028306,7/19/2016
32.18554709,-111.0024299,7/19/2016
32.18581866,-111.0026244,7/19/2016
32.18590174,-111.0022433,7/19/2016
32.18640635,-111.0022823,7/19/2016
32.18057436,-111.0034086,7/19/2016
32.18056565,-111.0030366,7/19/2016
32.18112099,-111.0034027,7/19/2016
32.18105293,-111.0030332,7/19/2016
32.18209885,-111.0033931,7/19/2016
32.18205035,-111.0030263,7/19/2016
32.18164261,-111.0033925,7/19/2016
32.18156517,-111.0030332,7/19/2016
32.17863086,-111.0031121,7/19/2016
32.18253841,-111.0030105,7/19/2016
32.18274684,-111.0033792,7/19/2016
32.18299669,-111.0030029,7/19/2016
32.18329931,-111.0033568,7/19/2016
32.18351979,-111.0030266,7/19/2016
32.18376101,-111.0033031,7/19/2016
32.1865944,-111.0018007,7/19/2016
32.18684946,-111.0019663,7/19/2016
32.1873894,-111.0015249,7/19/2016
32.18903804,-111.0000177,7/19/2016
32.18954962,-110.9997296,7/19/2016
32.206758,-110.9860977,7/19/2016
